sequence,psnr,ssim,lpips
00096_jerseyshort_shoulders_mill_45,24.004499,0.931933,0.087317
00096_jerseyshort_shoulders_mill_90,23.371813,0.939880,0.101273
00096_jerseyshort_shoulders_mill_270,24.271382,0.945381,0.087252
00096_jerseyshort_shoulders_mill_315,23.144709,0.920428,0.107044
00096_shirtlong_punching_45,22.317097,0.918553,0.109359
00096_shirtlong_punching_90,22.141472,0.934772,0.122322
00096_shirtlong_punching_270,23.299188,0.941065,0.098034
00096_shirtlong_punching_315,22.383747,0.920266,0.114667
00145_shortlong_twist_tilt_left_45,23.989456,0.929683,0.092404
00145_shortlong_twist_tilt_left_90,23.032128,0.934433,0.111955
00145_shortlong_twist_tilt_left_270,24.496729,0.933656,0.088051
00145_shortlong_twist_tilt_left_315,23.525879,0.916343,0.106627
00215_poloshort_bend_back_and_front_45,23.409235,0.916536,0.106208
00215_poloshort_bend_back_and_front_90,25.664289,0.949560,0.071094
00215_poloshort_bend_back_and_front_270,23.691955,0.942903,0.096235
00215_poloshort_bend_back_and_front_315,24.201535,0.928653,0.097323
00215_shortlong_tilt_twist_left_45,25.311810,0.934922,0.062896
00215_shortlong_tilt_twist_left_90,24.909617,0.943634,0.067141
00215_shortlong_tilt_twist_left_270,26.842222,0.956588,0.048837
00215_shortlong_tilt_twist_left_315,25.258506,0.935300,0.063782
AVERAGE,23.963363,0.933724,0.091991
STD,1.201660,0.011286,0.019954
