sequence,psnr,ssim,lpips
00096_jerseyshort_shoulders_mill_45,27.463417,0.951422,0.049421
00096_jerseyshort_shoulders_mill_90,26.980315,0.950605,0.046701
00096_jerseyshort_shoulders_mill_270,29.496742,0.964295,0.034040
00096_jerseyshort_shoulders_mill_315,27.041667,0.942645,0.047730
00096_shirtlong_punching_45,24.527257,0.927067,0.073148
00096_shirtlong_punching_90,26.121993,0.946744,0.057189
00096_shirtlong_punching_270,25.479451,0.948241,0.065205
00096_shirtlong_punching_315,24.657850,0.931629,0.072123
00145_shortlong_twist_tilt_left_45,25.804612,0.944426,0.064720
00145_shortlong_twist_tilt_left_90,24.998860,0.949257,0.077191
00145_shortlong_twist_tilt_left_270,27.070192,0.953376,0.052841
00145_shortlong_twist_tilt_left_315,26.820869,0.942382,0.056519
00215_poloshort_bend_back_and_front_45,26.828473,0.946493,0.054752
00215_poloshort_bend_back_and_front_90,27.509543,0.954300,0.047578
00215_poloshort_bend_back_and_front_270,27.386023,0.957794,0.051378
00215_poloshort_bend_back_and_front_315,26.981709,0.946940,0.057789
00215_shortlong_tilt_twist_left_45,26.781586,0.943437,0.050821
00215_shortlong_tilt_twist_left_90,25.848660,0.952563,0.057739
00215_shortlong_tilt_twist_left_270,28.890850,0.964197,0.033275
00215_shortlong_tilt_twist_left_315,27.367766,0.948350,0.044542
AVERAGE,26.702892,0.948308,0.054735
STD,1.264100,0.008993,0.011695
