sequence,psnr,ssim,lpips
00096_jerseyshort_shoulders_mill_45,21.861646,0.920842,0.113578
00096_jerseyshort_shoulders_mill_90,20.651073,0.927468,0.121334
00096_jerseyshort_shoulders_mill_270,22.547396,0.935507,0.104036
00096_jerseyshort_shoulders_mill_315,22.310353,0.917387,0.113606
00096_shirtlong_punching_45,21.032552,0.910223,0.119656
00096_shirtlong_punching_90,19.733914,0.923527,0.147855
00096_shirtlong_punching_270,21.816920,0.934363,0.100460
00096_shirtlong_punching_315,21.654137,0.917492,0.115136
00145_shortlong_twist_tilt_left_45,21.372663,0.924533,0.100910
00145_shortlong_twist_tilt_left_90,18.577682,0.926163,0.128879
00145_shortlong_twist_tilt_left_270,21.423397,0.931524,0.090208
00145_shortlong_twist_tilt_left_315,22.521540,0.917657,0.096100
00215_poloshort_bend_back_and_front_45,23.730714,0.925074,0.096809
00215_poloshort_bend_back_and_front_90,22.903023,0.943467,0.078192
00215_poloshort_bend_back_and_front_270,22.872106,0.943078,0.085467
00215_poloshort_bend_back_and_front_315,23.494328,0.922908,0.093543
00215_shortlong_tilt_twist_left_45,23.708288,0.928104,0.078350
00215_shortlong_tilt_twist_left_90,20.771123,0.935399,0.095437
00215_shortlong_tilt_twist_left_270,24.741328,0.942756,0.070180
00215_shortlong_tilt_twist_left_315,23.968956,0.929506,0.077401
AVERAGE,22.084657,0.927849,0.101357
STD,1.515713,0.009227,0.019580
