sequence,psnr,ssim,lpips
00032_longshort_flying_eagle_60,20.808464,0.914631,0.099897
00032_longshort_flying_eagle_600,20.150763,0.917592,0.099390
00032_shortlong_hips_60,20.328762,0.910882,0.139818
00032_shortlong_hips_600,20.410936,0.912777,0.098558
00032_shortshort_punching_60,21.890381,0.925690,0.110386
00032_shortshort_punching_600,21.067589,0.917967,0.101453
00096_jerseyshort_chicken_wings_60,21.229176,0.927570,0.088399
00096_jerseyshort_chicken_wings_600,19.926216,0.918425,0.101447
00096_jerseyshort_shoulders_mill_60,22.029284,0.924792,0.079780
00096_jerseyshort_shoulders_mill_600,19.876391,0.911940,0.099199
00096_longshort_ballerina_spin_60,21.003595,0.922625,0.088177
00096_longshort_ballerina_spin_600,20.272825,0.914869,0.094588
00096_shirtlong_basketball_60,21.260446,0.919940,0.099542
00096_shirtlong_basketball_600,20.700265,0.921443,0.093437
00096_shirtlong_punching_60,19.554502,0.920517,0.108284
00096_shirtlong_punching_600,20.321743,0.919597,0.087638
00096_shirtshort_ATUsquat_60,20.406685,0.915140,0.137628
00096_shirtshort_ATUsquat_600,19.053892,0.903348,0.132936
00096_shortshort_soccer_60,20.337974,0.919525,0.094991
00096_shortshort_soccer_600,19.112578,0.914409,0.110222
00127_shortlong_ATUsquat_60,21.951653,0.920457,0.101878
00127_shortlong_ATUsquat_600,20.057561,0.908192,0.112753
00127_shortlong_ballerina_spin_60,20.273149,0.909844,0.124528
00127_shortlong_ballerina_spin_600,19.677989,0.901905,0.115503
00127_shortlong_bend_back_and_front_60,22.145122,0.921975,0.095396
00127_shortlong_bend_back_and_front_600,21.427901,0.921678,0.084382
00145_shortlong_hips_60,20.682376,0.933549,0.081927
00145_shortlong_hips_600,19.612034,0.916613,0.106877
00145_shortlong_punching_60,21.137852,0.927645,0.083324
00145_shortlong_punching_600,19.746924,0.908977,0.106039
00145_shortlong_simple_60,20.685685,0.922342,0.110498
00145_shortlong_simple_600,20.169608,0.915096,0.113178
00145_shortlong_twist_tilt_left_60,19.811525,0.906083,0.101450
00145_shortlong_twist_tilt_left_600,19.776005,0.910090,0.094085
00215_jerseyshort_flying_eagle_60,21.550305,0.926504,0.083181
00215_jerseyshort_flying_eagle_600,20.960414,0.926746,0.078399
00215_jerseyshort_hips_60,20.941380,0.924564,0.090686
00215_jerseyshort_hips_600,20.600394,0.921857,0.092337
00215_poloshort_bend_back_and_front_60,21.038409,0.914710,0.127950
00215_poloshort_bend_back_and_front_600,20.422709,0.913409,0.106921
00215_poloshort_soccer_60,20.760934,0.924576,0.085903
00215_poloshort_soccer_600,19.968542,0.915816,0.103679
00215_shortlong_tilt_twist_left_60,22.012790,0.918512,0.096205
00215_shortlong_tilt_twist_left_600,20.720269,0.914871,0.095794
03331_longshort_chicken_wings_60,21.010072,0.924571,0.104121
03331_longshort_chicken_wings_600,19.903447,0.915251,0.107441
03331_shortshort_punching_60,20.839625,0.920049,0.087365
03331_shortshort_punching_600,19.470787,0.917690,0.093783
03375_blazerlong_babysit_trial2_60,18.506739,0.910138,0.127821
03375_blazerlong_babysit_trial2_600,20.758811,0.922726,0.089738
03375_blazerlong_volleyball_trial1_60,20.972248,0.914121,0.099781
03375_blazerlong_volleyball_trial1_600,18.941912,0.898994,0.127919
03375_longlong_basketball_trial2_60,18.769400,0.913734,0.110010
03375_longlong_basketball_trial2_600,19.314133,0.916834,0.094436
03375_longlong_climb_trial1_60,20.017733,0.919376,0.100550
03375_longlong_climb_trial1_600,20.464422,0.918984,0.090266
03375_longlong_golf_trial1_60,19.142150,0.908611,0.125340
03375_longlong_golf_trial1_600,18.558279,0.907988,0.119909
03375_longlong_handball_trial1_60,18.432494,0.910169,0.122375
03375_longlong_handball_trial1_600,19.630834,0.910003,0.105788
03375_longlong_music_trial1_60,20.355875,0.919630,0.111317
03375_longlong_music_trial1_600,21.245160,0.917251,0.098646
03375_shortlong_soccer_trial2_60,20.538255,0.925056,0.086005
03375_shortlong_soccer_trial2_600,21.123902,0.926594,0.075490
03375_shortshort_run_trial2_60,19.321597,0.919111,0.115625
03375_shortshort_run_trial2_600,20.839725,0.923275,0.093533
AVERAGE,20.364115,0.917270,0.102211
STD,0.879480,0.006734,0.014656
